"","rheobase_sweep_num","thumbnail_sweep_num","vrest","ri","sag","tau","vm_for_sag","f_i_curve_slope","adaptation","latency","avg_isi","upstroke_downstroke_ratio_long_square","peak_v_long_square","peak_t_long_square","trough_v_long_square","trough_t_long_square","fast_trough_v_long_square","fast_trough_t_long_square","threshold_v_long_square","threshold_i_long_square","threshold_t_long_square","upstroke_downstroke_ratio_ramp","peak_v_ramp","peak_t_ramp","trough_v_ramp","trough_t_ramp","fast_trough_v_ramp","fast_trough_t_ramp","threshold_v_ramp","threshold_i_ramp","threshold_t_ramp","upstroke_downstroke_ratio_short_square","peak_v_short_square","peak_t_short_square","trough_v_short_square","trough_t_short_square","fast_trough_v_short_square","fast_trough_t_short_square","threshold_v_short_square","threshold_i_short_square","threshold_t_short_square"
"SM-GE95A_S041_E1-50",11,14,-72.3302885691325,98.5936298966408,0.0427316352725029,6.28183918264129,-84.96875,0.153242675198035,-0.00906471335601783,0.0947199999999999,86.39,2.55306411430555,20.90625,1.0901,-49.21875,1.09916,-46.8437538146973,1.09454,-25.125,200,1.08942,2.14846388755977,15.4687519073486,9.26981,-48.265625,9.2779,-46.53125,9.27399,-27.1875,219.25,9.26903,1.98685503367742,18.5750007629395,0.503316,-74.1562576293945,0.850384,-63.6500015258789,0.508584,-33.5250015258789,760,0.502896
"SM-GE95A_S035_E1-50",10,11,-55.0730311075846,294.218629598618,0.0790430828928947,12.5603334739813,-91.96875,0.262142857142857,0.160634639994066,0.0176000000000001,70.9333333333333,4.19350853626748,57.0000038146973,0.56138,-31.2187519073486,0.57088,-27.9062519073486,0.56378,-15.90625,110,0.561,3.91359905579175,50.0625,4.02637,-38.859375,4.03647,-36.3906269073486,4.02866,-23.34375,88.1875,4.02595,3.14491125279693,54.4812545776367,0.502844,-56.2437553405762,1.078424,-37.3562507629395,0.504916,-25.15625,400,0.50254
"SM-GE95A_S028_E1-50",32,13,-71.8747922457182,117.499880492687,0.062580406665802,6.51357170061578,-84.7500076293945,0.162180974477958,-0.000410151710142597,0.0359400000000001,72.5538461538461,4.18746632695226,35.5625,1.16274,-55.7187538146973,1.17282,-50.96875,1.16588,-34.28125,170,1.16234,4.39283983663958,33.6875038146973,7.36104,-56.46875,7.37114,-52.6562538146973,7.36536,-33.1250038146973,171.625,7.36064,2.73746139745057,31.6145839691162,0.50324,-72.3020858764648,1.10872,-57.2916717529297,0.507106666666667,-34.1770820617676,710,0.502926666666667
"SM-GE95A_S042_E1-50",15,18,-53.7513572147914,100.93741863966,0.00642016809433699,5.41790425405248,-65.5625,0.613157894736842,0.000628433879205708,0.0126599999999999,18.9707692307692,1.48430729988806,35.5625,0.82384,-32.0312538146973,0.82496,-31.9375019073486,0.8249,-8.40625095367432,270,0.8235,1.38543410673681,40.8125038146973,12.17639,-28.625,12.17766,-28.5,12.17749,-3.14062547683716,291.9375,12.17602,1.76527822670765,42.8385429382324,0.503283333333333,-55.0677070617676,1.01657666666667,-40.6875,0.504306666666667,-23.5052089691162,600,0.502986666666667
"SM-GE95A_S056_E1-50",10,11,-72.9865468343099,277.812391519547,0.0952631533145905,15.7760144747562,-98.03125,0.14142856690543,0.0937335489725016,0.01118,78.385,4.79331774702133,4.81250047683716,0.52168,-43.8437538146973,0.54092,-36.84375,0.52476,-42.7812538146973,119.999992370605,0.52108,5.9093556209071,8.80208301544189,5.0269,-49.75,5.04665333333333,-44.7083320617676,5.03395333333333,-41.2708320617676,113.208335876465,5.02621333333333,4.13752278146285,7.25000095367432,0.503356,-74.1937484741211,1.226012,-58.2312507629395,0.513368,-40.2062492370605,499.999969482422,0.502824
"SM-GE95A_S036_E1-50",11,13,-72.5407104492188,91.2499949336052,0.0796931833028793,6.41525633984909,-83.96875,0.872142799540927,-0.000405050910718107,0.0270600000000001,17.7503703703704,1.24402394387211,20.5,0.58256,-57.5312538146973,0.58342,-57.4062538146973,0.58332,-32.0625,249.999984741211,0.58224,1.13259829635182,13.0468759536743,13.1719,-53.5937538146973,13.1729,-53.484375,13.1728,-28.171875,316.875,13.17151,1.39171636401996,22.75,0.503393333333333,-71.9322891235352,0.882193333333333,-60.1666679382324,0.50417,-45.4322929382324,550,0.503093333333333
"SM-GE95A_S044_E1-50",13,14,-73.5467586517334,111.875109374523,0.0408175513148308,6.83527839066129,-86.84375,0.217870716631086,-0.0180479567199166,0.05654,66.2014285714286,3.58602461372402,26.2187519073486,1.35094,-56.4062538146973,1.35838,-53.90625,1.35468,-36.21875,220,1.35046,3.63251172551047,23.890625,9.39533,-56.1093788146973,9.40289,-53.6718788146973,9.3992,-37.296875,222.4375,9.39484,2.40300026955042,25.4635410308838,0.503513333333333,-74.2500076293945,0.775006666666667,-64.0520858764648,0.50853,-38.8645820617676,730,0.503133333333333
"SM-GE95A_S045_E1-50",11,13,-66.9605392456055,121.093787252903,0.02919727191329,7.16928373927013,-80.5312576293945,0.152142857142857,-0.0185145543889955,0.03592,106.328888888889,3.18771398691834,30.7812519073486,1.36192,-52.5000038146973,1.3726,-49.375,1.36708,-31.0625,180,1.36138,2.79451723214272,27.5156269073486,6.89567,-55.9062538146973,6.90659,-51.7343788146973,6.89993,-36.53125,159.9375,6.89504,2.31337628945953,28.8479179382324,0.503564,-69.4749984741211,0.819290666666667,-58.247917175293,0.509934666666667,-36.2895851135254,790,0.503068
"SM-GE95A_S037_E1-50",12,14,-76.1462149986854,118.906244635582,0.032334104180336,7.64733183580797,-90.21875,0.671363089155015,0.00425372608612865,0.0445599999999999,21.3109090909091,1.35660775012801,18.65625,0.70776,-59.6250038146973,0.70902,-59.3750038146973,0.7087,-34.6875,200,0.7074,1.28680693189723,14.625,8.74939,-60.4062538146973,8.75113,-60.1875038146973,8.75049,-34.40625,206.25,8.74902,1.5518211167314,20.6749992370605,0.50306,-76,0.946636,-63.8562507629395,0.503952,-46.8499984741211,600,0.502776
"SM-GE95A_S057_E1-50",11,12,-74.068376714533,126.562535762787,0.042183380573988,8.69259988558214,-88.28125,0.541594827586207,0.00106191868424724,0.00726000000000004,12.8823376623377,1.48480914733061,26.15625,0.50936,-61.6250038146973,0.51028,-61.5312538146973,0.51022,-41,300,0.50898,1.23540771530548,13.0208349227905,9.67039333333333,-58.9791717529297,9.67157333333333,-58.8645820617676,9.6715,-36.3229179382324,229.33332824707,9.66994666666667,1.54477744664777,25.1500015258789,0.50308,-73.8312530517578,1.014844,-63.6562576293945,0.504036,-46.9874992370605,600,0.50274
