,0,1,2,3,4,5,6,7,8,9
Iqgap2,-0.020416083,-0.03462354,0.014199634,0.011414206,-0.01329917,-0.018518405,-0.030466447,-0.016747823,0.0075150537,0.030009074
Vwc2,-0.0563502,-0.012435035,0.0486134,-0.031677388,-0.003921795,0.045071304,0.049054056,-0.024059901,0.029652638,0.05840872
Penk,-0.01145198,0.012979061,0.027047304,0.0322441,-0.0049207136,-0.00085866946,0.02137364,-0.030663485,-0.0100736,0.0005173021
Ndn,-0.01908756,-0.025307786,0.0017448453,0.022674484,-0.012732025,-0.019524282,-0.022423139,-0.015043143,0.038162563,0.0096509755
Cdh7,0.003613312,0.0081585115,0.003703427,0.01949462,-0.009541294,-0.010468399,-0.00045857005,-0.023280462,0.008313145,0.01299065
Ano4,-0.021828974,-0.002935905,0.010664049,0.012015855,0.024637317,-0.0029545329,-0.028837925,-0.050869066,0.035023503,-0.0036527852
Col25a1,-0.010113115,0.07193373,-0.02175585,0.024384325,-0.027749652,-0.015121837,-0.031902492,-0.0018880771,0.062246293,-0.005216534
Ano3,-0.01711633,0.027506873,0.016129378,0.028330883,-0.018316386,0.0351117,0.020578813,-0.02707404,0.023887709,-0.010707916
Cdh8,-0.0141841965,-0.021217389,0.017009018,0.01562045,-0.017463198,-0.036973212,-0.051334143,-0.027872844,0.0106665455,0.008369626
Erbb4,-0.0176677,-0.023528105,0.0035335736,0.009291714,0.021658422,-0.0035721387,-0.026249884,-0.04494344,0.03560347,0.0058866027
Gpc6,-0.03379942,-0.0020104353,0.04470652,-0.010367865,-0.0063760267,0.026551465,0.033362154,-0.032155715,0.019262183,0.03188178
St6galnac5,0.018819872,1.421475e-05,0.012778811,0.005628035,-0.006790643,-0.0010014276,0.016064264,-0.026997786,0.03122371,0.016318196
Xist,-0.031310145,0.0020131578,0.034458004,-0.018408448,-0.016682697,0.024316385,0.03857602,-0.021339318,0.015922848,0.046563976
Arpp21,-0.017555773,0.0110641625,0.040067732,0.00061380886,-0.005848748,-0.0065907477,-0.0075064832,-0.045484748,0.0036533417,0.00941551
Zfp804a,-0.04309375,-0.010721639,0.03828385,-0.014651166,-0.005428428,0.028678292,0.031527676,-0.031407636,0.028086912,0.03597316
Luzp2,-0.0036968163,-0.0028612302,0.018340986,0.018397292,-0.01023208,-0.017400034,-0.01008089,-0.01938779,0.010353858,0.017372988
Sema6d,-0.014250462,0.016095696,0.0015083681,-0.012835468,-0.03302129,-0.017557159,-0.0060645626,-0.010631491,0.0006233839,0.046305966
Galnt14,0.0030441564,0.04806343,0.039161157,0.042736027,-0.020947263,-0.049229015,-0.000684763,-0.02825656,-0.0066633434,-0.013797168
Cacna2d1,-0.13953617,0.025480632,0.09631166,-0.1861406,-0.10501907,0.091004096,0.13383096,-0.011039294,0.04306345,0.1849134
Laptm5,-0.06465007,0.08443698,-0.040711697,-0.1644247,-0.137245,-0.002754849,0.04741892,0.031072889,0.044168986,0.18931338
Sdk1,-0.030806055,-0.028651968,0.0019493985,0.005815784,0.05964691,-0.00879979,-0.06541184,-0.050883505,0.059147645,0.0027993824
Pde4b,-0.02449463,0.051837347,0.00053214334,0.039652564,-0.06601151,0.0096202,-0.017475175,-0.008153121,0.049164996,-0.0307371
Cdh4,0.00858036,0.027131448,0.019022502,0.035299595,-0.019953525,-0.034066085,0.0009153575,-0.029626539,-0.001337686,-0.0072790934
Alk,0.004233639,0.03130906,0.02533847,0.034802046,-0.023066442,-0.020895673,-0.015696144,-0.018183826,0.030443648,-0.01136451
Eya4,0.03155917,0.044190545,0.03396428,0.06418448,-0.012106765,-0.03896086,0.016779363,-0.024201974,-0.005768352,-0.025607659
Npas3,-0.028233837,0.030393165,0.04775327,0.0177504,-0.020640519,0.021780718,0.017679017,-0.035184093,0.009745829,-0.0057941573
Cntnap5c,-0.028957548,0.021242786,0.041071355,-0.00041021523,0.026976269,0.027155103,0.024303362,-0.030921433,0.026135383,0.024179865
Fcrls,0.00011630837,0.041178927,-0.011289667,-0.0027799523,-0.017816791,-0.006813179,-0.0030752453,-0.017911706,0.026167793,0.027082892
Gabrg3,-0.043169197,-0.016340366,0.029753935,0.00023349054,0.039944474,0.02123524,0.0070909304,-0.04528309,0.06086846,0.012891962
Inpp4b,0.0053907293,-0.02841881,0.024671182,-0.016788702,-0.041520067,-0.05512411,-0.09774855,-0.04490864,0.0029622675,0.016596062
P2ry12,-0.027407998,-0.019861856,-0.031432614,-0.036516163,0.02332408,-0.01879132,-0.04829091,-0.03384044,0.063095994,0.051971044
Id2,-0.036636874,-0.002320779,0.046127066,-0.018516986,-0.008790566,0.035901956,0.054735586,-0.034394998,0.016906349,0.03812811
Ptprz1,0.015484856,0.0017348343,0.01530561,0.018758396,0.0082407845,0.0065220464,0.0059138425,0.0008025173,0.021252874,0.027890846
Alcam,-0.0072189663,0.022677239,0.032573476,0.022651024,0.014898634,-0.019167205,-0.004383778,-0.023240421,0.0073200953,0.01394609
Tmeff2,-0.009718487,-0.0010406486,0.009514206,0.010946102,0.007153758,-0.01602411,-0.03221093,-0.04336287,0.020008037,0.002321089
Trf,-0.014307743,0.039142504,0.02217728,-0.030971257,-0.013139897,0.020328864,0.026978193,-0.028490465,-0.0050337384,0.050763533
Mbp,-0.0142733,-0.028038148,0.0017907692,-0.0007068924,-0.021527676,-0.028705092,-0.0016853176,-0.024567142,0.011990211,0.036285646
Cxcl14,-0.022410607,-0.000565111,0.046238802,0.0014978021,0.007777649,0.031185212,0.052837353,-0.037456855,0.016320277,0.020088157
Rgs4,-0.012423666,-0.009983818,0.004823061,0.021063777,0.019098232,-0.0076229335,-0.00031020676,-0.023273647,0.020084238,0.01638436
Sema5a,-0.017185628,0.016290851,-0.0028216434,-0.018108271,-0.029256538,-0.00662534,0.0052304696,-0.010573183,0.007271473,0.05265275
Ralyl,-0.0144342845,-0.049694184,-0.004989943,0.018296318,-0.042015374,-0.010194921,-0.045378182,-0.048666257,0.023789613,-0.016957527
Satb1,-0.084595814,-0.0072870436,0.024185266,0.07357612,-0.04187367,-0.070243835,-0.018705115,0.046021093,-0.000981894,0.031768404
Npas1,-0.033949696,0.021381736,0.019773634,0.046170734,0.017660938,-0.028033935,-0.028762124,-0.0061972816,-0.00044349727,0.0058295573
Ctsz,-0.044576917,0.017937182,0.043249585,0.0041402522,-0.03949271,0.008446597,0.021746742,-0.03136171,-0.003699153,0.017822346
Clstn2,-0.0020767283,0.0076145492,-0.05083804,0.043649614,0.01926101,-0.0016043398,0.010192057,-0.029062651,0.07049629,-0.019681012
Tmem44,0.023664184,0.012178031,0.057266228,0.058112096,-0.0679553,-0.010976895,-0.0055148113,0.048453,0.076391086,-0.0012805657
